verb	verb_id	object	sentence	phrase
stimulated	14	cyclase	Use of theophylline and fluphenazine as specific inhibitors of adenosine and dopamine , respectively , made it possible to demonstrate that adenosine , DOPAMINE , and PGE1 STIMULATED adenylate CYCLASE through independent receptor sites .	...dopamine , and PGE1 stimulated adenylate cyclase through...
penetrate	-1	barrier	Since DOPAMINE does not PENETRATE the blood-brain BARRIER , the enhanced PRL decrease observed during pyridoxine infusion might be explained only on the basis of a mechanism of action exerted by dopamine on extra blood-brain barrier sites .	...dopamine does not penetrate the blood-brain barrier ,...
regulate	26	synthesis	Dopamine stimulation of adenylate cyclase was not reduced in the lesioned SN , supporting the view that dendritically-released DOPAMINE can REGULATE cyclic AMP SYNTHESIS in afferent terminals to these dendrites .	...dopamine can regulate cyclic AMP synthesis in...
produced	7	rates	Epinephrine produced greater elevations in mean arterial pressure than dopamine with all anesthetics except enflurane , and DOPAMINE PRODUCED significantly ( p less than 0.05 ) higher heart RATES in the awake animals and those anesthetized with halothane and enflurane .	...dopamine produced significantly ( p less than 0.05 ) higher heart rates in...
stimulate	25	alterations	These studies indicate that DOPAMINE can directly STIMULATE renin release in the absence of effects of hemodynamic factors , ALTERATIONS in sodium metabolism or release of endogenous adrenergic agents .	...dopamine can directly stimulate renin release in the absence of effects of hemodynamic factors , alterations in...
stimulated	14	activity	5-Hydroxytryptamine ( 5-HT ) , epinephrine , and DOPAMINE strongly STIMULATED the motor ACTIVITY of larval Spirometra mansonoides .	...dopamine strongly stimulated the motor activity of...
influence	34	activity	The results suggest that DOPAMINE , released from nigral dendrites , may INFLUENCE dopaminergic ACTIVITY indirectly by modulating impulses transmitted to the nigrostriatal neurons through the crus cerebri .	...dopamine , released from nigral dendrites , may influence dopaminergic activity indirectly...
had	5	activity	Neither DOPAMINE nor phenylephrine HAD ACTIVITY .	...dopamine nor phenylephrine had activity ....
label	108	receptors	Tritiated haloperidol and tritiated DOPAMINE LABEL postsynaptic dopamine RECEPTORS in mammalian brain .	...dopamine label postsynaptic dopamine receptors in...
induce	27	monooxygenase	Corticotropin ( ACTH ) , DOPAMINE , and propranolol do not INDUCE the MONOOXYGENASE , but elicit an increase in the cAMP content of the medulla which fails to activate protein kinase and lasts less than 1 hr .	...dopamine , and propranolol do not induce the monooxygenase ,...
increases	17	pressure	At low pressure , the DOPAMINE INCREASES the arterial PRESSURE , the cardiac output and the systolic activity of the left ventricle for a reduced tachycardic effect .	...dopamine increases the arterial pressure ,...
produces	32	increase	The authors explain these results by the fact that , like all powerful inotropic agents , DOPAMINE PRODUCES an INCREASE in oxygen consumption of the myocardium for the ischemic cells situated in the zone contiguous to the infarct .	...dopamine produces an increase in...
depolarized	-1	neurones	Acetylcholine , DOPAMINE , histamine , serotonin and noradrenaline DEPOLARIZED various NEURONES ; GABA caused hyperpolarization , while glutamate and glycine had no significant effect .	...dopamine , histamine , serotonin and noradrenaline depolarized various neurones ;...
mediates	24	fluid-secretion	It seems likely that DOPAMINE MEDIATES FLUID-SECRETION in the salivary gland of Manduca as it does a number of other arthropods .	...dopamine mediates fluid-secretion in...
generate	87	vasospasm	Arteriograms of the basilar artery reveal that DOPAMINE given intracisternally to dogs can GENERATE cerebral VASOSPASM .	...dopamine given intracisternally to dogs can generate cerebral vasospasm ....
play	6	role	This finding supports a recent hypothesis of others that DOPAMINE may PLAY a ROLE in the pathogenesis of vasospasm , especially since many substances are known which fail to produce such spasm .	...dopamine may play a role in...
